   at NorthwindCorp.Web.Middleware.ImageCacheMiddleware.InvokeAsync(HttpContext context) in C:\Learning\ASPNetMentoring\NorthwindCorp\NorthwindCorp\NorthwindCorp.Web\Middleware\ImageCacheMiddleware.cs:line 85
   at Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Diagnostics.DeveloperExceptionPageMiddleware.Invoke(HttpContext context)
   at Microsoft.AspNetCore.Server.IIS.Core.IISHttpContextOfT`1.ProcessRequestAsync()
2020-11-23 18:09:56.273 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:57.870 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:57.871 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:57.981 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:59.320 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:09:59.321 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:09:59.432 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:00.827 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:00.827 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:00.951 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:01.510 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.220 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.220 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.248 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.248 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.248 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.248 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.253 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.255 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.273 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.274 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.274 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.274 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.275 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.275 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.275 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.275 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.276 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.278 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.280 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.282 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.282 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.283 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.285 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.285 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:02.285 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.285 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.285 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:02.290 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.291 +03:00 [INF] read: 'CacheImageCount' = 10
2020-11-23 18:10:02.324 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:07.653 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:07.654 +03:00 [INF] read: 'IsLoggingControllerActions' = False
2020-11-23 18:10:07.671 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:07.704 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:07.704 +03:00 [INF] read: 'CachePath' = c:\Learning\ASPNetMentoring\Cache\
2020-11-23 18:10:07.704 +03:00 [INF] read: 'IsLoggingControllerActions' = False
